Date,SKU,Name,Brand,Avg Rating,Rating Count,Sponsor,Price,Sales Price,Express,Rank,Link,Delivery
06-Oct-2024,Z303ABA7,leg-stretcher-strap-backbend-training-belt-with-door-anchor-flexibility-trainer-stretching-equipment-assist-stretch-strap-for-fitness-gymnastics-dance-aerial-yoga-ballet,Hihonor,N/A,N/A,N,N/A,49,N,108,https://www.noon.com/uae-en/leg-stretcher-strap-backbend-training-belt-with-door-anchor-flexibility-trainer-stretching-equipment-assist-stretch-strap-for-fitness-gymnastics-dance-aerial-yoga-ballet/Z303ABA78CAF410F9E5D3Z/p/?o=d5e03e06684d6b7e,N/A
06-Oct-2024,Z712491A,2-piece-yoga-block-props-brick,ZCM-HAPPY,5.0,3,N,N/A,25,Y,109,https://www.noon.com/uae-en/2-piece-yoga-block-props-brick/Z712491AD789D5E234AE5Z/p/?o=z712491ad789d5e234ae5z-1,Get it by 7 Oct
06-Oct-2024,N1884228,yoga-ball-65cm,Fitness,3.8,96,N,33.35,30.05,N,110,https://www.noon.com/uae-en/yoga-ball-65cm/N18842285A/p/?o=d5fb2d434e76aacc,N/A
06-Oct-2024,Z274EF3F,ukr-tri-fold-portable-non-slip-yoga-mat-fitness-mat-gym-mat-travel-exercise-training-aerobic-mat-fitness-gym-gymnastics-balance-padded-mat-blue-183x61x2-2-cm,UKR,N/A,N/A,N,123,109.95,Y,111,https://www.noon.com/uae-en/ukr-tri-fold-portable-non-slip-yoga-mat-fitness-mat-gym-mat-travel-exercise-training-aerobic-mat-fitness-gym-gymnastics-balance-padded-mat-blue-183x61x2-2-cm/Z274EF3F6E0CF52B104EEZ/p/?o=z274ef3f6e0cf52b104eez-1,Get it by 7 Oct
06-Oct-2024,Z2F9046D,yoga-barre-socks-non-slip-anti-skid-sticky-silicone-grips-cotton-for-pilates-gym-pure-ballet-dance-barefoot-workout-ankle-multiuse-black-grey-skin-color-3pcs,Y&D,N/A,N/A,N,69,50,Y,112,https://www.noon.com/uae-en/yoga-barre-socks-non-slip-anti-skid-sticky-silicone-grips-cotton-for-pilates-gym-pure-ballet-dance-barefoot-workout-ankle-multiuse-black-grey-skin-color-3pcs/Z2F9046D53376D3F6A8B7Z/p/?o=z2f9046d53376d3f6a8b7z-1,Get it by 7 Oct
06-Oct-2024,ZB9CDE67,durable-and-comfy-texture-yoga-belt-strap-for-stretching-with-extra-safe-adjustable-d-ring-buckle,BOLDFIT,5.0,1,N,59,39,Y,113,https://www.noon.com/uae-en/durable-and-comfy-texture-yoga-belt-strap-for-stretching-with-extra-safe-adjustable-d-ring-buckle/ZB9CDE67D0E9D26CAE10DZ/p/?o=zb9cde67d0e9d26cae10dz-1,Get it by 7 Oct
06-Oct-2024,Z603FF8F,yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio,URbazaar,N/A,N/A,N,59.90,54.90,Y,114,https://www.noon.com/uae-en/yoga-mat-for-women-and-men-extra-long-and-wide-exercise-mat-72-x24-large-non-slip-workout-mat-for-yoga-pilates-fitness-barefoot-workouts-home-gym-studio/Z603FF8FD1BFB572D8D9FZ/p/?o=z603ff8fd1bfb572d8d9fz-1,Get it by 7 Oct
06-Oct-2024,ZAD8031C,yoga-fitness-exercise-ball-with-air-pump-75cm,ZCM-HAPPY,4.4,2,N,N/A,33,Y,115,https://www.noon.com/uae-en/yoga-fitness-exercise-ball-with-air-pump-75cm/ZAD8031CED5EAB0061F80Z/p/?o=zad8031ced5eab0061f80z-1,Get it by 7 Oct
06-Oct-2024,Z2B5045D,6mm-anti-slip-tpe-yoga-mat-with-strap-bag-knee-support-non-slip-lightweight-for-yoga-pilates-fitness-home-workouts-183-66-cm-pink-black,RIGID,4.6,17,N,89.95,83.50,Y,116,https://www.noon.com/uae-en/6mm-anti-slip-tpe-yoga-mat-with-strap-bag-knee-support-non-slip-lightweight-for-yoga-pilates-fitness-home-workouts-183-66-cm-pink-black/Z2B5045D950DFD7AE4E59Z/p/?o=z2b5045d950dfd7ae4e59z-1,Get it by 7 Oct
06-Oct-2024,N4966878,5-piece-elastic-resistance-band-set,Fitness,4.5,35,N,N/A,30.80,Y,117,https://www.noon.com/uae-en/5-piece-elastic-resistance-band-set/N49668789A/p/?o=d86690573dd8680e,Get it by 7 Oct
06-Oct-2024,ZAD955A6,microfiber-quick-dry-towels-silver-ion-technology-towel-super-absorbent-gym-towel-ideal-sweat-towel-for-fitness-camping-travel-suitable-for-men-women-77x40cm-set-of-3,RIGID,4.4,8,N,N/A,76,N,118,https://www.noon.com/uae-en/microfiber-quick-dry-towels-silver-ion-technology-towel-super-absorbent-gym-towel-ideal-sweat-towel-for-fitness-camping-travel-suitable-for-men-women-77x40cm-set-of-3/ZAD955A6E63B552CF2087Z/p/?o=d824eec06093747d,N/A
06-Oct-2024,N3414607,massage-foam-roller,321,5.0,16,N,38,37.05,N,119,https://www.noon.com/uae-en/massage-foam-roller/N34146072A/p/?o=a92a320a68a7204c,N/A
06-Oct-2024,ZFF6D188,anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm-multicolor,Toshionics,3.7,3,N,60,31.75,Y,120,https://www.noon.com/uae-en/anti-slip-fitness-exercise-gym-yoga-mats-4mm-thick-for-indoor-and-outdoor-61x173cm-multicolor/ZFF6D1886AAD421874DF1Z/p/?o=zff6d1886aad421874df1z-1,Get it by 7 Oct
06-Oct-2024,Z131EFE3,yoga-mats-anti-slip-sport-fitness-mat-blanket-for-exercise-yoga-and-pilates-gymnastics-mat-fitness-equipment-6mm,Spall,N/A,N/A,N,50,37,Y,121,https://www.noon.com/uae-en/yoga-mats-anti-slip-sport-fitness-mat-blanket-for-exercise-yoga-and-pilates-gymnastics-mat-fitness-equipment-6mm/Z131EFE3A0A418553788CZ/p/?o=z131efe3a0a418553788cz-1,Get it by 7 Oct
06-Oct-2024,N3011671,yoga-foam-bricks-fitness-equinment-block-9-x-6-x-3cm,Motim,N/A,N/A,N,N/A,24.45,Y,122,https://www.noon.com/uae-en/yoga-foam-bricks-fitness-equinment-block-9-x-6-x-3cm/N30116717A/p/?o=ef82480bd4a1649f,Get it by 7 Oct
06-Oct-2024,Z537AAA5,ab-roller-for-abs-workout-pilates-bar-kit-with-resistance-band-set-exercise-bar-with-ab-roller-yoga-stretching-equipment-core-strength-training-equipment-portable-home-gym-for-men-and-women,GROIC,N/A,N/A,N,200,110.95,N,123,https://www.noon.com/uae-en/ab-roller-for-abs-workout-pilates-bar-kit-with-resistance-band-set-exercise-bar-with-ab-roller-yoga-stretching-equipment-core-strength-training-equipment-portable-home-gym-for-men-and-women/Z537AAA58F5ED089134C9Z/p/?o=baf9e48161d15c0d,N/A
06-Oct-2024,N2003489,anti-tear-exercise-mat-with-carrying-strap,Generic,4.5,1.1K,N,239,34.70,Y,124,https://www.noon.com/uae-en/anti-tear-exercise-mat-with-carrying-strap/N20034893A/p/?o=d6f1ea275e88dc5d,Get it by 7 Oct
06-Oct-2024,N1568696,pilates-and-yoga-rubber-resistance-band,QiaoKai,3.7,50,N,N/A,18.75,Y,125,https://www.noon.com/uae-en/pilates-and-yoga-rubber-resistance-band/N15686964A/p/?o=fab8abbb78d9beab,Get it by 7 Oct
06-Oct-2024,N1652962,yoga-ball-with-air-pump-85-cm-85cm,body,4.0,120,N,N/A,44.95,N,126,https://www.noon.com/uae-en/yoga-ball-with-air-pump-85-cm-85cm/N16529625A/p/?o=ee7bf77231bb45bd,N/A
06-Oct-2024,N5182222,unisex-tpe-yoga-mat-183-61-0-5cm,N.E.A.T,N/A,N/A,N,N/A,169,N,127,https://www.noon.com/uae-en/unisex-tpe-yoga-mat-183-61-0-5cm/N51822224A/p/?o=f345a87462a35f5f,Get it by 9 Oct
06-Oct-2024,Z25D4BDA,6mm-premium-mandala-yoga-mat,Gaiam,N/A,N/A,N,165,52,Y,128,https://www.noon.com/uae-en/6mm-premium-mandala-yoga-mat/Z25D4BDA82C9769BF5FBBZ/p/?o=z25d4bda82c9769bf5fbbz-1,Get it by 7 Oct
06-Oct-2024,ZD8EDDD3,pilates-bar-kit-with-resistance-bands-6-x-resistance-bands-3-section-pilates-bar-with-stackable-bands-workout-equipment-for-legs-hip-waist-and-arm-exercise-fitness-equipment-for-adult,GROIC,5.0,1,N,200,109.95,Y,129,https://www.noon.com/uae-en/pilates-bar-kit-with-resistance-bands-6-x-resistance-bands-3-section-pilates-bar-with-stackable-bands-workout-equipment-for-legs-hip-waist-and-arm-exercise-fitness-equipment-for-adult/ZD8EDDD325573EC7B2A21Z/p/?o=zd8eddd325573ec7b2a21z-1,Get it by 7 Oct
06-Oct-2024,N1666008,exercise-swiss-ball-75cm,Fitness,4.2,48,N,38,30.05,Y,130,https://www.noon.com/uae-en/exercise-swiss-ball-75cm/N16660086A/p/?o=f8e727a9bac64c8b,Get it by 7 Oct
06-Oct-2024,Z4521303,5-pcs-different-colors-of-resistance-band-for-leg-hip-and-hip-strength-training-yoga-stretch-elastic-band-fitness-elastic-and-tension-band-yoga-products-in-home-gym-outdoors,WAOKN,5.0,1,N,86.45,36.65,Y,131,https://www.noon.com/uae-en/5-pcs-different-colors-of-resistance-band-for-leg-hip-and-hip-strength-training-yoga-stretch-elastic-band-fitness-elastic-and-tension-band-yoga-products-in-home-gym-outdoors/Z4521303BE3EA2B4B2A22Z/p/?o=z4521303be3ea2b4b2a22z-1,Get it by 7 Oct
06-Oct-2024,Z8E2E75E,fitness-mat-10mm-dark-green,Adidas,N/A,N/A,N,155,142.30,Y,132,https://www.noon.com/uae-en/fitness-mat-10mm-dark-green/Z8E2E75E9B01F70A5C6DAZ/p/?o=z8e2e75e9b01f70a5c6daz-1,Get it by 7 Oct
